log_id,raw_log_text,source_file,label,cluster_id,regex_label,regex_rule,bert_label,bert_confidence,bert_rule,llm_category,llm_confidence,final_category,pipeline_stage,final_confidence
2216,INFO nova.compute.manager [req-ac9f5721-5c52-4ec3-ba8a-e494d9780d53] [instance: aec26d73-b6ed-487a-866e-a174ab53ef5c] During sync_power_state the instance has a pending task (spawning). Skip.,../data/openstack-nova-sample.log,mixed,8,Instance_Management_Compute,INFO nova\.compute\.manager.*?\[instance: [a-f0-9\-]+\].*,Scheduler_Operations,0.7239126,DistilBERT_Classification,,,Instance_Management_Compute,Regex,1.0
15115,INFO nova.compute.manager [None req-ac9f5721-5c52-4ec3-ba8a-e494d9780d53 None None] [instance: 269c2e5c-24aa-4d93-a9c1-c309902ef963] During sync_power_state the instance has a pending task (spawning). Skip.,../data/openstack-nova-normal-vm-create.log,normal,8,Instance_Management_Compute,INFO nova\.compute\.manager.*?\[instance: [a-f0-9\-]+\].*,,,,,,Instance_Management_Compute,Regex,1.0
6369,INFO nova.compute.manager [None req-0f69838f-e506-4e79-9b37-85b2cba0ab35 None None] [instance: aab8ecb4-e5c0-4bef-87d9-d32660bc01f1] During sync_power_state the instance has a pending task (spawning). Skip.,../data/openstack-vm-destroy-immediately-after-create.log,abnormal1,8,Instance_Management_Compute,INFO nova\.compute\.manager.*?\[instance: [a-f0-9\-]+\].*,,,,,,Instance_Management_Compute,Regex,1.0
5962,INFO nova.compute.manager [None req-0f69838f-e506-4e79-9b37-85b2cba0ab35 None None] [instance: 0cef08a0-3238-40e0-9792-f9e1291b6fc2] During sync_power_state the instance has a pending task (spawning). Skip.,../data/openstack-vm-destroy-immediately-after-create.log,abnormal1,8,Instance_Management_Compute,INFO nova\.compute\.manager.*?\[instance: [a-f0-9\-]+\].*,,0.55686015,,,,Instance_Management_Compute,Regex,1.0
18134,INFO nova.compute.manager [req-ac9f5721-5c52-4ec3-ba8a-e494d9780d53] [instance: d2862b3f-f64b-43a2-86a2-b8cbafe491e1] During sync_power_state the instance has a pending task (spawning). Skip.,../data/openstack-nova-sample.log,mixed,8,Instance_Management_Compute,INFO nova\.compute\.manager.*?\[instance: [a-f0-9\-]+\].*,,,,,,Instance_Management_Compute,Regex,1.0
20007,INFO nova.compute.manager [None req-ac9f5721-5c52-4ec3-ba8a-e494d9780d53 None None] [instance: fef2662f-8e0e-4904-97e0-9a7abd43beaf] VM Paused (Lifecycle Event),../data/openstack-nova-normal-vm-create.log,normal,2,Instance_Management_Compute,INFO nova\.compute\.manager.*?\[instance: [a-f0-9\-]+\].*,,,,,,Instance_Management_Compute,Regex,1.0
6787,INFO nova.compute.manager [None req-35de5188-4d22-4367-932c-2a43882caafb admin admin] [instance: a2f5480d-2d8a-4d2c-9356-b0ed4779c6b4] Terminating instance,../data/openstack-vm-destroy-immediately-after-create.log,abnormal1,0,Instance_Management_Compute,INFO nova\.compute\.manager.*?\[instance: [a-f0-9\-]+\].*,,,,,,Instance_Management_Compute,Regex,1.0
39516,INFO nova.compute.manager [req-ab05132e-23b9-45ec-a07b-ebb52adacb81] [instance: c3b78fed-2e2c-42c7-b429-c55ea21f322a] VM Resumed (Lifecycle Event),../data/openstack-nova-undefine-vm-after-create.log,abnormal2,15,Instance_Management_Compute,INFO nova\.compute\.manager.*?\[instance: [a-f0-9\-]+\].*,,,,,,Instance_Management_Compute,Regex,1.0
1534,INFO nova.compute.manager [req-344c919d-7a94-43cb-80d1-a8dc9f170852] [instance: c17481a8-f731-469c-b2f5-c358a2257b8b] Took 3.37 seconds to destroy the instance on the hypervisor.,../data/openstack-nova-sample.log,mixed,11,Instance_Management_Compute,INFO nova\.compute\.manager.*?\[instance: [a-f0-9\-]+\].*,,0.29702285,,,,Instance_Management_Compute,Regex,1.0
2546,INFO nova.compute.manager [req-ced8e8fb-2811-4120-beaa-bf652ba29cc3] [instance: f79547b4-ef6e-420f-b321-008bcf0c3c1d] Took 3.37 seconds to destroy the instance on the hypervisor.,../data/openstack-nova-sample.log,mixed,11,Instance_Management_Compute,INFO nova\.compute\.manager.*?\[instance: [a-f0-9\-]+\].*,Network_Operations,0.7906446,DistilBERT_Classification,,,Instance_Management_Compute,Regex,1.0
